iter	Logloss
0	0.6851814095
1	0.6774344609
2	0.6717931375
3	0.6643382105
4	0.6553198277
5	0.6473732433
6	0.6381421144
7	0.6312069509
8	0.6236279367
9	0.6154568552
10	0.6072149167
11	0.6009923124
12	0.5957303979
13	0.5884837008
14	0.5828781566
15	0.5750247473
16	0.5678127771
17	0.5604984678
18	0.5539577528
19	0.5491253206
20	0.542722417
21	0.5374208209
22	0.5318233446
23	0.5275516291
24	0.5223324217
25	0.5167599382
26	0.5108653101
27	0.5045169962
28	0.4999304585
29	0.4960999324
30	0.4918516313
31	0.4863310189
32	0.4826817129
33	0.4787899324
34	0.4736325494
35	0.4685649653
36	0.4646354763
37	0.4591483631
38	0.4548359136
39	0.4500882379
40	0.4457762269
41	0.4411027404
42	0.437624745
43	0.4340927299
44	0.4298395179
45	0.4264284331
46	0.4236070041
47	0.4198581213
48	0.4167948756
49	0.413777757
50	0.4111407927
51	0.406556535
52	0.4033517947
53	0.4003411655
54	0.396943191
55	0.3935009748
56	0.3908894857
57	0.3870366853
58	0.3836665099
59	0.3808541133
60	0.3767340211
61	0.3733922147
62	0.3699057568
63	0.3669947043
64	0.3640435317
65	0.361322381
66	0.3575502812
67	0.3545432694
68	0.3521679845
69	0.3492196839
70	0.3469801716
71	0.3441892602
72	0.341715144
73	0.3390342449
74	0.3372385091
75	0.3344778741
76	0.3326639197
77	0.3306351146
78	0.3281799404
79	0.3256418075
80	0.3232443579
81	0.3215960799
82	0.3187040132
83	0.3167151966
84	0.3153527797
85	0.3123826213
86	0.3096133265
87	0.3075406085
88	0.3052954838
89	0.3030702876
90	0.3012855354
91	0.29948969
92	0.2972446968
93	0.295020531
94	0.292906816
95	0.290536749
96	0.2883194671
97	0.2863711434
98	0.2844455544
99	0.2826404791
100	0.2810262044
101	0.2793316019
102	0.2778474216
103	0.2758569389
104	0.2736742305
105	0.2718287501
106	0.2699617846
107	0.2678933418
108	0.2661212614
109	0.2641368296
110	0.2627412204
111	0.2608124525
112	0.2591304121
113	0.2575935715
114	0.2561399306
115	0.2542549659
116	0.2531917397
117	0.2517235855
118	0.2507746247
119	0.2490953906
120	0.2479196746
121	0.2466492927
122	0.2449405714
123	0.2429648213
124	0.2410515752
125	0.2396940034
126	0.2386346357
127	0.2368246495
128	0.2354883874
129	0.2339340736
130	0.2327560776
131	0.231531494
132	0.2306537409
133	0.2297041882
134	0.2285316511
135	0.2275058264
136	0.2261090333
137	0.2249817026
138	0.2238357588
139	0.2225362843
140	0.22100624
141	0.2195877207
142	0.2186129778
143	0.2177074695
144	0.2167732195
145	0.2156691716
146	0.2143589765
147	0.2133664756
148	0.2122868943
149	0.2111724547
150	0.2104683799
151	0.2098004352
152	0.2085716861
153	0.2072795561
154	0.2059763547
155	0.2049453121
156	0.2037603883
157	0.202841397
158	0.2019002629
159	0.2009462159
160	0.2001162562
161	0.1994477853
162	0.1985384623
163	0.1975115634
164	0.1963582532
165	0.1953594164
166	0.1944297264
167	0.193160923
168	0.1923219308
169	0.1909682394
170	0.1903243887
171	0.1889399386
172	0.1881250184
173	0.1870982291
174	0.1860015913
175	0.1852691037
176	0.1841779906
177	0.1832077311
178	0.1819764499
179	0.1810519339
180	0.1803531866
181	0.1792074839
182	0.1780818632
183	0.1767592375
184	0.1759964954
185	0.1750062526
186	0.1740361795
187	0.1735076466
188	0.1727052776
189	0.1720129649
190	0.1712371782
191	0.170547584
192	0.1698399029
193	0.1689455317
194	0.1680661563
195	0.1672290166
196	0.1665595701
197	0.1660141013
198	0.1652885854
199	0.1645715867
200	0.1638913538
201	0.163156334
202	0.1623966831
203	0.161566548
204	0.1610122768
205	0.1600148322
206	0.1594603856
207	0.15861577
208	0.1579374774
209	0.157427448
210	0.1565954713
211	0.1559399133
212	0.1552644488
213	0.1543904009
214	0.1536646328
215	0.152990385
216	0.152654034
217	0.1520595331
