iter	Passed	Remaining
0	168	168032
1	188	93982
2	208	69143
3	230	57293
4	250	49939
5	278	46164
6	306	43486
7	326	40466
8	345	38038
9	368	36484
10	390	35136
11	413	34038
12	431	32724
13	459	32331
14	496	32607
15	526	32381
16	554	32047
17	575	31420
18	603	31143
19	629	30857
20	658	30704
21	687	30541
22	707	30070
23	731	29741
24	753	29368
25	774	29027
26	797	28742
27	818	28398
28	840	28129
29	863	27904
30	884	27662
31	907	27452
32	936	27433
33	969	27558
34	1002	27641
35	1020	27328
36	1043	27156
37	1065	26985
38	1091	26898
39	1113	26713
40	1136	26573
41	1157	26393
42	1178	26227
43	1198	26040
44	1222	25938
45	1244	25803
46	1265	25665
47	1286	25513
48	1307	25375
49	1328	25238
50	1353	25182
51	1375	25068
52	1397	24965
53	1418	24856
54	1439	24738
55	1463	24662
56	1484	24566
57	1506	24471
58	1529	24387
59	1550	24289
60	1571	24191
61	1592	24086
62	1612	23985
63	1633	23892
64	1658	23850
65	1682	23812
66	1708	23786
67	1732	23740
68	1759	23742
69	1787	23746
70	1812	23712
71	1834	23642
72	1856	23573
73	1877	23496
74	1897	23408
75	1920	23343
76	1940	23266
77	1962	23193
78	1982	23108
79	2004	23051
80	2025	22976
81	2045	22894
82	2070	22875
83	2093	22826
84	2116	22780
85	2136	22703
86	2158	22647
87	2178	22575
88	2197	22489
89	2216	22406
90	2232	22304
91	2250	22206
92	2267	22114
93	2283	22008
94	2300	21915
95	2318	21828
96	2335	21745
97	2357	21700
98	2379	21654
99	2397	21575
100	2415	21496
101	2432	21415
102	2449	21334
103	2470	21280
104	2491	21233
105	2517	21231
106	2538	21188
107	2560	21147
108	2582	21107
109	2601	21048
110	2625	21029
111	2647	20990
112	2672	20974
113	2700	20984
114	2723	20960
115	2744	20914
116	2765	20868
117	2787	20836
118	2808	20790
119	2829	20747
120	2847	20684
121	2866	20628
122	2889	20601
123	2910	20561
124	2938	20571
125	2959	20526
126	2978	20476
127	3002	20453
128	3022	20406
129	3042	20360
130	3066	20344
131	3089	20313
132	3109	20270
133	3131	20239
134	3151	20195
135	3184	20232
136	3202	20174
137	3217	20100
138	3233	20030
139	3250	19968
140	3269	19915
141	3288	19871
142	3316	19873
143	3333	19816
144	3350	19757
145	3371	19719
146	3388	19664
147	3404	19596
148	3420	19533
149	3436	19473
150	3453	19415
151	3469	19355
152	3487	19305
153	3502	19238
154	3518	19180
